mfg,makes,carlines,type,percent_content_USA_CAN,percent_content_other1,percent_content_other2,final_assembly1,final_assembly2,source_E1,source_E2,source_T1,source_T2,year,mfg_HQ,E_US,E_CA,T_US,T_CA,E_MX,T_MX,us_ca_shr,other1_shr,other1_who,other2_shr,other2_who,mx_shr,ell,add_plant,nafta_assembly,rem_shr,mx_shr_rem,mx_shr_rem_mn,stata_merge,mx_shr_con,mx_shr_lib,nafta_shr_lib,nafta_shr_con
Jaguar Land Rover Ltd.,Land Rover,"Range Rover 5.0L
Supercharged SWB",MPV,1%,71%UK,16%G,UK,,UK,,G,,2015,ROW,false,false,false,false,false,false,1.0,71.0,UK,16.0,G,,ROW,false,false,,,,,0,0.0,1.0,1.0
Jaguar Land Rover Ltd.,Land Rover,Range Rover Evoque,MPV,9%,58%UK,8%G,UK,,SP,,US,,2015,ROW,false,false,true,false,false,false,9.0,58.0,UK,8.0,G,,ROW,false,false,,,,,0,0.0,9.0,9.0
Jaguar Land Rover Ltd.,Land Rover,"Range Rover Sport 3.0L
Supercharged",MPV,1%,68%UK,18%G,UK,,UK,,G,,2015,ROW,false,false,false,false,false,false,1.0,68.0,UK,18.0,G,,ROW,false,false,,,,,0,0.0,1.0,1.0
Jaguar Land Rover Ltd.,Land Rover,"Range Rover Sport 5.0L
Supercharged",MPV,1%,69%UK,18%G,UK,,UK,,G,,2015,ROW,false,false,false,false,false,false,1.0,69.0,UK,18.0,G,,ROW,false,false,,,,,0,0.0,1.0,1.0
Kia Motors Corporation,Kia,Cadenza,PC,2%,88%K,,K,,K,,K,,2015,KOR,false,false,false,false,false,false,2.0,88.0,K,,,,ROW,false,false,,,,,0,0.0,2.0,2.0
Kia Motors Corporation,Kia,Forte 4 dr,PC,0%,98%K,,K,,K,,K,,2015,KOR,false,false,false,false,false,false,0.0,98.0,K,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Kia Motors Corporation,Kia,Forte 5 dr,PC,1%,96%K,,K,,K,,K,,2015,KOR,false,false,false,false,false,false,1.0,96.0,K,,,,ROW,false,false,,,,,0,0.0,1.0,1.0
Kia Motors Corporation,Kia,Forte Koup,PC,1%,95%K,,K,,K,,K,,2015,KOR,false,false,false,false,false,false,1.0,95.0,K,,,,ROW,false,false,,,,,0,0.0,1.0,1.0
Kia Motors Corporation,Kia,K900,PC,2%,89%K,,K,,K,,K,,2015,KOR,false,false,false,false,false,false,2.0,89.0,K,,,,ROW,false,false,,,,,0,0.0,2.0,2.0
Kia Motors Corporation,Kia,Optima (Korea),PC,1%,95%K,,K,,K,,K,,2015,KOR,false,false,false,false,false,false,1.0,95.0,K,,,,ROW,false,false,,,,,0,0.0,1.0,1.0
Kia Motors Corporation,Kia,Optima Hybrid,PC,4%,84%K,,K,,K,,K,,2015,KOR,false,false,false,false,false,false,4.0,84.0,K,,,,ROW,false,false,,,,,0,0.0,4.0,4.0
Kia Motors Corporation,Kia,Rio 4 dr,PC,2%,90%K,,K,,K,,K,,2015,KOR,false,false,false,false,false,false,2.0,90.0,K,,,,ROW,false,false,,,,,0,0.0,2.0,2.0
Kia Motors Corporation,Kia,Rio 5 dr,PC,2%,90%K,,K,,K,,K,,2015,KOR,false,false,false,false,false,false,2.0,90.0,K,,,,ROW,false,false,,,,,0,0.0,2.0,2.0
Kia Motors Corporation,Kia,Sedona (YP),MPV,3%,86%K,,K,,K,,K,,2015,KOR,false,false,false,false,false,false,3.0,86.0,K,,,,ROW,false,false,,,,,0,0.0,3.0,3.0
Kia Motors Corporation,Kia,Soul,MPV,1%,86%K,,K,,K,,K,,2015,KOR,false,false,false,false,false,false,1.0,86.0,K,,,,ROW,false,false,,,,,0,0.0,1.0,1.0
Kia Motors Corporation,Kia,Soul EV,MPV,0%,85%K,,K,,K,,K,,2015,KOR,false,false,false,false,false,false,0.0,85.0,K,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Kia Motors Corporation,Kia,Sportage,MPV,1%,91%K,,K,,K,,K,,2015,KOR,false,false,false,false,false,false,1.0,91.0,K,,,,ROW,false,false,,,,,0,0.0,1.0,1.0
Mazda Motor Corp.,Mazda,CX-5,MPV,0%,95%J,,J,,J,,J,,2015,JPN,false,false,false,false,false,false,0.0,95.0,J,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mazda Motor Corp.,Mazda,CX-9,MPV,10%,85%J,,J,,J,,J,,2015,JPN,false,false,false,false,false,false,10.0,85.0,J,,,,ROW,false,false,,,,,0,0.0,10.0,10.0
Mazda Motor Corp.,Mazda,Mazda 5,PC,0%,95%J,,J,,J,,J,,2015,JPN,false,false,false,false,false,false,0.0,95.0,J,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mazda Motor Corp.,Mazda,Mazda3,PC,0%,85%J,,J,,J,,J,,2015,JPN,false,false,false,false,false,false,0.0,85.0,J,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mazda Motor Corp.,Mazda,Mazda6,PC,0%,95%J,,J,,J,,J,,2015,JPN,false,false,false,false,false,false,0.0,95.0,J,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mazda Motor Corp.,Mazda,MX-5 Miata,PC,0%,95%J,,J,,J,,J,,2015,JPN,false,false,false,false,false,false,0.0,95.0,J,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mercedes Benz,"Mercedes
Benz",B-Class E-CELL,PC,15%,58%G,,G,,US,,US,,2015,DEU,true,false,true,false,false,false,15.0,58.0,G,,,,ROW,false,false,,,,,0,0.0,15.0,15.0
Mercedes Benz,"Mercedes
Benz",C-Class Coupe,PC,0%,73%G,,G,,G,,G,,2015,DEU,false,false,false,false,false,false,0.0,73.0,G,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mercedes Benz,"Mercedes
Benz",CLA-Class,PC,0%,70%H,,H,,G,,G,,2015,DEU,false,false,false,false,false,false,0.0,70.0,H,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mercedes Benz,"Mercedes
Benz",CLS-Class,PC,0%,73%G,,G,,G,,G,,2015,DEU,false,false,false,false,false,false,0.0,73.0,G,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mercedes Benz,"Mercedes
Benz","E-Class / E-Class
Coupe/Cabriolet",PC,0%,73%G,,G,,G,,G,,2015,DEU,false,false,false,false,false,false,0.0,73.0,G,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mercedes Benz,"Mercedes
Benz",G-Class,MPV,0%,50%G,25%A,A,,G,,G,,2015,DEU,false,false,false,false,false,false,0.0,50.0,G,25.0,A,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mercedes Benz,"Mercedes
Benz",GLA-Class,PC,0%,73%G,,G,,G,,G,,2015,DEU,false,false,false,false,false,false,0.0,73.0,G,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mercedes Benz,"Mercedes
Benz",GLK-Class,MPV,0%,73%G,,G,,G,,G,,2015,DEU,false,false,false,false,false,false,0.0,73.0,G,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mercedes Benz,"Mercedes
Benz",S-Class / S-Class Coupe,PC,0%,81%G,,G,,G,,G,,2015,DEU,false,false,false,false,false,false,0.0,81.0,G,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mercedes Benz,"Mercedes
Benz",SL-Class,PC,0%,81%G,,G,,G,,G,,2015,DEU,false,false,false,false,false,false,0.0,81.0,G,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mercedes Benz,"Mercedes
Benz",SLK-Class,PC,0%,73%G,,G,,G,,G,,2015,DEU,false,false,false,false,false,false,0.0,73.0,G,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mercedes Benz,"Mercedes
Benz",SLS-Class Coupe/Roadster,PC,0%,73%G,,G,,G,,G,,2015,DEU,false,false,false,false,false,false,0.0,73.0,G,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mercedes Benz,Smart,Smart fortwo,PC,0%,44%G,15%J,F,,J,,G,,2015,DEU,false,false,false,false,false,false,0.0,44.0,G,15.0,J,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mercedes Benz,Smart,Smart fortwo ed,PC,0%,60%G,,F,,G,,G,,2015,DEU,false,false,false,false,false,false,0.0,60.0,G,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mitsubishi Motors Corp.,Mitsubishi,Lancer,PC,1%,97%J,,J,,J,,J,,2015,JPN,false,false,false,false,false,false,1.0,97.0,J,,,,ROW,false,false,,,,,0,0.0,1.0,1.0
Mitsubishi Motors Corp.,Mitsubishi,"Lancer Evolution (Manual
Transmission)",PC,0%,96%J,,J,,J,,J,,2015,JPN,false,false,false,false,false,false,0.0,96.0,J,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mitsubishi Motors Corp.,Mitsubishi,Lancer Evolution (SST),PC,0%,75%J,19%SL,J,,J,,SL,,2015,JPN,false,false,false,false,false,false,0.0,75.0,J,19.0,SL,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mitsubishi Motors Corp.,Mitsubishi,Lancer Ralliart,PC,0%,73%J,25%SL,J,,J,,SL,,2015,JPN,false,false,false,false,false,false,0.0,73.0,J,25.0,SL,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mitsubishi Motors Corp.,Mitsubishi,Mirage (CVT),PC,0%,92%TH,,TH,,TH,,TH,,2015,JPN,false,false,false,false,false,false,0.0,92.0,TH,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mitsubishi Motors Corp.,Mitsubishi,Mirage (Manual Transmission),PC,0%,90%TH,,TH,,TH,,TH,,2015,JPN,false,false,false,false,false,false,0.0,90.0,TH,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mitsubishi Motors Corp.,Mitsubishi,Outlander 2.4L,MPV,0%,95%J,,J,,J,,J,,2015,JPN,false,false,false,false,false,false,0.0,95.0,J,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Mitsubishi Motors Corp.,Mitsubishi,Outlander 3.0L,MPV,0%,96%J,,J,,J,,J,,2015,JPN,false,false,false,false,false,false,0.0,96.0,J,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Nissan North America Inc.,Infiniti,Q40,PC,0%,100%J,,J,,J,,J,,2015,JPN,false,false,false,false,false,false,0.0,100.0,J,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Nissan North America Inc.,Infiniti,Q50,PC,0%,100%J,,J,,J,,J,,2015,JPN,false,false,false,false,false,false,0.0,100.0,J,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Nissan North America Inc.,Infiniti,Q60 Coupe/Convertible,PC,0%,100%J,,J,,J,,J,,2015,JPN,false,false,false,false,false,false,0.0,100.0,J,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Nissan North America Inc.,Infiniti,"Q70, Q70 Long Wheelbase,
Q70 HEV",PC,0%,100%J,,J,,J,,J,,2015,JPN,false,false,false,false,false,false,0.0,100.0,J,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Nissan North America Inc.,Infiniti,QX50,PC,0%,100%J,,J,,J,,J,,2015,JPN,false,false,false,false,false,false,0.0,100.0,J,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Nissan North America Inc.,Infiniti,QX70,MPV,0%,100%J,,J,,J,,J,,2015,JPN,false,false,false,false,false,false,0.0,100.0,J,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Nissan North America Inc.,Infiniti,QX80,MPV,0%,100%J,,J,,J,,J,,2015,JPN,false,false,false,false,false,false,0.0,100.0,J,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Nissan North America Inc.,Nissan,370Z (Coupe & Roadster),PC,0%,100%J,,J,,J,,J,,2015,JPN,false,false,false,false,false,false,0.0,100.0,J,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Nissan North America Inc.,Nissan,GT-R,PC,0%,100%J,,J,,J,,J,,2015,JPN,false,false,false,false,false,false,0.0,100.0,J,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Nissan North America Inc.,Nissan,Juke,MPV,0%,100%J,,J,,J,,J,,2015,JPN,false,false,false,false,false,false,0.0,100.0,J,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Nissan North America Inc.,Nissan,Quest,MPV,0%,100%J,,J,,J,,J,,2015,JPN,false,false,false,false,false,false,0.0,100.0,J,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Nissan North America Inc.,Nissan,Rogue Select,MPV,0%,100%J,,J,,J,,J,,2015,JPN,false,false,false,false,false,false,0.0,100.0,J,,,,ROW,false,false,,,,,0,0.0,0.0,0.0
Porsche AG,Porsche,911 Carrera,PC,3%,65%G,,G,,G,,J(Manual),,2015,DEU,false,false,false,false,false,false,3.0,65.0,G,,,,ROW,false,false,,,,,0,0.0,3.0,3.0
Porsche AG,Porsche,911 Carrera,PC,5%,65%G,,G,,G,,G(Auto),,2015,DEU,false,false,false,false,false,false,5.0,65.0,G,,,,ROW,false,false,,,,,0,0.0,5.0,5.0
Porsche AG,Porsche,911 Carrera 4,PC,4%,68%G,,G,,G,,J(Manual),G(Auto),2015,DEU,false,false,false,false,false,false,4.0,68.0,G,,,,ROW,false,false,,,,,0,0.0,4.0,4.0
