mfg,makes,carlines,type,percent_content_USA_CAN,percent_content_other1,percent_content_other2,final_assembly1,final_assembly2,source_E1,source_E2,source_T1,source_T2,year
General Motors,Chevrolet,Avalanche,MPV,65%,31% M,"",US,M,US,M,US,M,2011
General Motors,Chevrolet,"Aveo, Aveo 5",PC,2%,80% K,"",K,"",K,"",K,J,2011
General Motors,Chevrolet,Camaro,PC,66%,15% M,"",CN,"",US,M,US,"J,M,F",2011
General Motors,Chevrolet,Caprice,PC,5%,63% AU,20% M,AU,"",M,"",M,"",2011
General Motors,Chevrolet,Captiva,MPV,26%,56% M,"",M,"",US,"CH, M",US,"",2011
General Motors,Chevrolet,Colorado,Truck,75%,"","",US,"",US,"",M,J,2011
General Motors,Chevrolet,Corvette,PC,75%,"","",US,"",US,"",US,"",2011
General Motors,Chevrolet,Cruze,PC,45%,19% A,15% M,US,"",A,M,A,M,2011
General Motors,Chevrolet,Equinox,MPV,66%,"","",CN,"",US,CA,US,"M, K",2011
General Motors,Chevrolet,Express,"MPV,Truck",80%,"","",US,"",US,"",US,M,2011
General Motors,Chevrolet,HHR,"MPV,Truck",37%,57% M,"",M,"",US,G,US,"SW, I",2011
General Motors,Chevrolet,Impala,PC,77%,15% M,"",CN,"",US,M,US,"",2011
General Motors,Chevrolet,Malibu,PC,75%,"","","","",US,CA,US,M,2011
General Motors,Chevrolet,Silverado,Truck,61%,34% M,"",US,M,US,M,US,M,2011
General Motors,Chevrolet,Suburban,MPV,65%,31% M,"",US,M,US,M,US,M,2011
General Motors,Chevrolet,Tahoe,MPV,65%,31% M,"",US,M,US,M,US,M,2011
General Motors,Chevrolet,Traverse,MPV,75%,"","",US,"",US,"",US,"",2011
General Motors,Chevrolet,Volt,PC,40%,20% K,"",US,"",A,"",J,"",2011
General Motors,GMC,Acadia,MPV,75%,"","",US,"",US,"",US,"",2011
General Motors,GMC,Canyon,Truck,75%,"","",US,"",US,"",M,J,2011
General Motors,GMC,Savana,"MPV,Truck",80%,"","",US,"",US,"",US,M,2011
General Motors,GMC,Sierra,Truck,61%,34% M,"",US,M,US,M,US,M,2011
General Motors,GMC,Terrain,MPV,66%,"","",CN,"",US,CA,US,"M, K",2011
General Motors,GMC,"Yukon, Denali Yukon XL,
Denali XL",MPV,65%,31% M,"",US,M,US,M,US,M,2011
General Motors,Saab,9-4 X,MPV,21%,67%M,"",M,"",M,"",US,"",2011
Hyundai Motor Co.,Hyundai,Accent,PC,2%,95% K,"",K,"",K,"",K,"",2011
Hyundai Motor Co.,Hyundai,Azera,PC,2%,89% K,"",K,"",K,"",K,"",2011
Hyundai Motor Co.,Hyundai,"Elantra ""MD""",PC,1%,97% K,"",K,"",K,"",K,"",2011
Hyundai Motor Co.,Hyundai,"Elantra ""UD""",PC,34%,65% K,"",US,"",K,"",US,"",2011
Hyundai Motor Co.,Hyundai,Elantra Touring,PC,1%,96% K,"",K,"",K,"",K,"",2011
Hyundai Motor Co.,Hyundai,Equus,PC,2%,78% K,20% OT,K,"",K,"",G,"",2011
Hyundai Motor Co.,Hyundai,Genesis Coupe,PC,3%,86% K,"",K,"",K,"",K,"",2011
Hyundai Motor Co.,Hyundai,Genesis Sedan,PC,4%,80% K,16% OT,K,"",K,"",K,"",2011
Hyundai Motor Co.,Hyundai,Santa Fe,MPV,50%,50% K,"",US,"",US,"",US,"",2011
Hyundai Motor Co.,Hyundai,Sonata,PC,41%,58% K,"",US,"",US,"",K,"",2011
Hyundai Motor Co.,Hyundai,Tucson,MPV,1%,96% K,"",K,"",K,"",K,"",2011
Hyundai Motor Co.,Hyundai,Veracruz,MPV,4%,80% K,16% OT,K,"",K,"",K,"",2011
Jaguar LandRover,Jaguar,XF,PC,4%,66% UK,16% G,UK,"",UK,"",G,"",2011
Jaguar LandRover,Jaguar,XF Premium Luxury,PC,4%,65% UK,17% G,UK,"",UK,"",G,"",2011
Jaguar LandRover,Jaguar,XF R,PC,4%,66% UK,15% G,UK,"",UK,"",G,"",2011
Jaguar LandRover,Jaguar,XF Supercharged,PC,4%,66% UK,15% G,UK,"",UK,"",G,"",2011
